,mouse_lemur__gene_name,human__gene_name,mouse__gene_name,
12662,OTUD3,OTUD3,Otud3,
12663,CCDC168,CCDC168,Gm8251,
12664,SVEP1,SVEP1,Svep1,
12665,DYNC2LI1,DYNC2LI1,Dync2li1,
12666,CLPB,CLPB,Clpb,
12667,GBGT1,GBGT1,Gbgt1,
12668,LOC105855016,KXD1,Kxd1,
12669,ARTN,ARTN,Artn,
12670,UGGT1,UGGT1,Uggt1,
12671,ZCCHC17,ZCCHC17,Zcchc17,
12672,ITGAE,ITGAE,Itgae,
12673,FBXL5,FBXL5,Fbxl5,
12674,CLEC11A,CLEC11A,Clec11a,
12675,CIAO2A,CIAO2A,Ciao2a,
12676,STX1A,STX1A,Stx1a,
12677,TRAM1,TRAM1,Tram1,
12678,WAPL,WAPL,Wapl,
12679,ARMT1,ARMT1,Armt1,
12680,STPG4,STPG4,Stpg4,
12681,PDE7B,PDE7B,Pde7b,
12682,ISLR2,ISLR2,Islr2,
12683,LOC105864454,OR6K3,Olfr424,
12684,MYL4,MYL4,Myl4,
12685,SARS1,SARS1,Sars,
12686,TMEM109,TMEM109,Tmem109,
12687,GFAP,GFAP,Gfap,
12688,KRAS,KRAS,Kras,
12689,CBLIF,CBLIF,Cblif,
12690,CCDC192,CCDC192,Ccdc192,
12691,FGD3,FGD3,Fgd3,
12692,GAMT,GAMT,Gamt,
12693,VGLL2,VGLL2,Vgll2,
12694,CCDC60,CCDC60,Ccdc60,
12695,SLC39A14,SLC39A14,Slc39a14,
12696,RCN3,RCN3,Rcn3,
12697,EXOC3L1,EXOC3L1,Exoc3l,
12698,HSPB3,HSPB3,Hspb3,
12699,SLC24A3,SLC24A3,Slc24a3,
12700,LRR1,LRR1,Lrr1,
12701,CNPY4,CNPY4,Cnpy4,
12702,WRN,WRN,Wrn,
12703,ITM2A,ITM2A,Itm2a,
12704,YIPF1,YIPF1,Yipf1,
12705,STAC,STAC,Stac,
12706,CEACAM20,CEACAM20,Ceacam20,
12707,CCDC88A,CCDC88A,Ccdc88a,
12708,UBASH3B,UBASH3B,Ubash3b,
12709,SWAP70,SWAP70,Swap70,
12710,VSTM2L,VSTM2L,Vstm2l,
12711,CRYGN,CRYGN,Crygn,
12712,MED21,MED21,Med21,
12713,GSC2,GSC2,Gsc2,
12714,USP51,USP51,Usp51,
12715,PAXIP1,PAXIP1,Paxip1,
12716,TUBB,TUBB,Tubb5,
12717,TMEM135,TMEM135,Tmem135,
12718,PRKRIP1,PRKRIP1,Prkrip1,
12719,DNAH9,DNAH9,Dnah9,
12720,PYGM,PYGM,Pygm,
12721,PPP2CB,PPP2CB,Ppp2cb,
12722,LOC105884561,LOC100505841,1700034E13Rik,
12723,STEAP2,STEAP2,Steap2,
12724,SCARF1,SCARF1,Scarf1,
12725,USP16,USP16,Usp16,
12726,CBFB,CBFB,Cbfb,
12727,CHODL,CHODL,Chodl,
12728,CHST4,CHST4,Chst4,
12729,SNPH,SNPH,Snph,
12730,NDUFAF2,NDUFAF2,Ndufaf2,
12731,CARS1,CARS1,Cars,
12732,NIM1K,NIM1K,Nim1k,
12733,FNTA,FNTA,Fnta,
12734,UCN3,UCN3,Ucn3,
12735,LRFN1,LRFN1,Lrfn1,
12736,UPF2,UPF2,Upf2,
12737,FCRLA,FCRLA,Fcrla,
12738,COPS7A,COPS7A,Cops7a,
12739,KCNJ12,KCNJ12,Kcnj12,
12740,ESYT3,ESYT3,Esyt3,
12741,ZDHHC4,ZDHHC4,Zdhhc4,
12742,C7H12orf75,C12orf75,1500009L16Rik,
12743,ATF6B,ATF6B,Atf6b,
12744,MAL2,MAL2,Mal2,
12745,LOC105876884,COX7A1,Cox7a1,
12746,DCBLD1,DCBLD1,Dcbld1,
12747,ZNF264,ZNF264,Zfp264,
12748,ABCA6,ABCA6,Abca6,
12749,VGLL1,VGLL1,Vgll1,
12750,CCDC22,CCDC22,Ccdc22,
12751,GALNT1,GALNT1,Galnt1,
12752,CD79A,CD79A,Cd79a,
12753,PLIN4,PLIN4,Plin4,
12754,DCC,DCC,Dcc,
12755,QSOX1,QSOX1,Qsox1,
12756,CNTN6,CNTN6,Cntn6,
12757,FRK,FRK,Frk,
12758,PPP1R14B,PPP1R14B,Ppp1r14b,
12759,PPP1R12B,PPP1R12B,Ppp1r12b,
12760,TMED2,TMED2,Tmed2,
12761,RNF126,RNF126,Rnf126,
12762,MGAT4D,MGAT4D,Mgat4d,
12763,GBE1,GBE1,Gbe1,
12764,OPCML,OPCML,Opcml,
12765,ZSWIM6,ZSWIM6,Zswim6,
12766,PTMA,PTMA,Ptma,
12767,ARRDC1,ARRDC1,Arrdc1,
12768,PGLS,PGLS,Pgls,
12769,FGF17,FGF17,Fgf17,
12770,GPR174,GPR174,Gpr174,
12771,DCAF16,DCAF16,Gm43367,
12772,GIMD1,GIMD1,Gimd1,
12773,SNAPIN,SNAPIN,Snapin,
12774,NOLC1,NOLC1,Nolc1,
12775,THY1,THY1,Thy1,
12776,EFCAB11,EFCAB11,Efcab11,
12777,PCDH9,PCDH9,Pcdh9,
12778,NIF3L1,NIF3L1,Nif3l1,
12779,BCAP29,BCAP29,Bcap29,
12780,IGFBP3,IGFBP3,Igfbp3,
12781,ALOX15B,ALOX15B,Alox8,
12782,GGA3,GGA3,Gga3,
12783,SCMH1,SCMH1,Scmh1,
12784,TSPAN15,TSPAN15,Tspan15,
12785,MYO3B,MYO3B,Myo3b,
12786,GDNF,GDNF,Gdnf,
12787,NECTIN1,NECTIN1,Nectin1,
12788,AOAH,AOAH,Aoah,
12789,RRP7A,RRP7A,Rrp7a,
12790,PTF1A,PTF1A,Ptf1a,
12791,ADRB2,ADRB2,Adrb2,
12792,VPS11,VPS11,Vps11,
12793,SNX1,SNX1,Snx1,
12794,LSM10,LSM10,Lsm10,
12795,SWSAP1,SWSAP1,Swsap1,
12796,BEX3,BEX3,Bex3,
12797,WEE2,WEE2,Wee2,
12798,C24H19orf57,C19orf57,4930432K21Rik,
12799,PADI3,PADI3,Padi3,
12800,ATP6V0B,ATP6V0B,Atp6v0b,
12801,TMEM120A,TMEM120A,Tmem120a,
12802,STRADB,STRADB,Stradb,
12803,UFSP2,UFSP2,Ufsp2,
12804,SRRM3,SRRM3,Srrm3,
12805,LRATD2,LRATD2,Lratd2,
12806,MEOX2,MEOX2,Meox2,
12807,PRSS33,PRSS33,Prss33,
12808,TCOF1,TCOF1,Tcof1,
12809,KDM6A,KDM6A,Kdm6a,
12810,SRPRB,SRPRB,Srprb,
12811,CFAP410,CFAP410,Cfap410,
12812,TMED9,TMED9,Tmed9,
12813,AGO3,AGO3,Ago3,
12814,LIN28B,LIN28B,Lin28b,
12815,CNMD,CNMD,Cnmd,
12816,RBBP4,RBBP4,Rbbp4,
12817,PRCC,PRCC,Prcc,
12818,SLC38A3,SLC38A3,Slc38a3,
12819,MPDU1,MPDU1,Mpdu1,
12820,MRPL40,MRPL40,Mrpl40,
12821,CD244,CD244,Cd244a,
12822,GMFG,GMFG,Gmfg,
12823,PDE9A,PDE9A,Pde9a,
12824,NRK,NRK,Nrk,
12825,ARHGAP1,ARHGAP1,Arhgap1,
12826,N6AMT1,N6AMT1,N6amt1,
12827,LOC105858567,CYB5R3,Cyb5r3,
12828,GCH1,GCH1,Gch1,
12829,LENG8,LENG8,Leng8,
12830,DYSF,DYSF,Dysf,
12831,CKAP2L,CKAP2L,Ckap2l,
12832,RNF5,RNF5,Rnf5,
12833,FGFRL1,FGFRL1,Fgfrl1,
12834,MBL2,MBL2,Mbl2,
12835,LOC105865869,UQCC1,Uqcc1,
12836,OGA,OGA,Oga,
12837,BTLA,BTLA,Btla,
12838,DPYSL5,DPYSL5,Dpysl5,
12839,NMNAT1,NMNAT1,Nmnat1,
12840,IL17RB,IL17RB,Il17rb,
12841,NXPE3,NXPE3,Nxpe3,
12842,PODN,PODN,Podn,
12843,STAP1,STAP1,Stap1,
12844,TRABD2B,TRABD2B,Trabd2b,
12845,CDCA2,CDCA2,Cdca2,
12846,SPOCK3,SPOCK3,Spock3,
12847,SRL,SRL,Srl,
12848,POP4,POP4,Pop4,
12849,PYROXD2,PYROXD2,Pyroxd2,
12850,ZNF507,ZNF507,Zfp507,
12851,GTF2A1L,GTF2A1L,Gtf2a1l,
12852,POLN,POLN,Poln,
12853,PRKACA,PRKACA,Prkaca,
12854,CDK5RAP3,CDK5RAP3,Cdk5rap3,
12855,CDC25A,CDC25A,Cdc25a,
12856,CNBP,CNBP,Cnbp,
12857,NHP2,NHP2,Nhp2,
12858,LRRC55,LRRC55,Lrrc55,
12859,DQX1,DQX1,Dqx1,
12860,MSH2,MSH2,Msh2,
12861,LYG2,LYG2,Lyg2,
12862,CFAP65,CFAP65,Cfap65,
12863,MRPL46,MRPL46,Mrpl46,
12864,TIMD4,TIMD4,Timd4,
12865,NUP214,NUP214,Nup214,
12866,VWC2L,VWC2L,Vwc2l,
12867,QRICH2,QRICH2,Qrich2,
12868,DAD1,DAD1,Dad1,
12869,RCAN2,RCAN2,Rcan2,
12870,NKIRAS1,NKIRAS1,Nkiras1,
12871,SPIN4,SPIN4,Spin4,
12872,GNB1,GNB1,Gnb1,
12873,BICC1,BICC1,Bicc1,
12874,PRRT1B,PRRT1B,Gm13420,
12875,GPR183,GPR183,Gpr183,
12876,RASGEF1B,RASGEF1B,Rasgef1b,
12877,CHUK,CHUK,Chuk,
12878,NDUFS1,NDUFS1,Ndufs1,
12879,PLXNA2,PLXNA2,Plxna2,
12880,MPZ,MPZ,Mpz,
12881,NUP188,NUP188,Nup188,
12882,AP1M2,AP1M2,Ap1m2,
12883,SEC62,SEC62,Sec62,
12884,PPT1,PPT1,Ppt1,
12885,NALCN,NALCN,Nalcn,
12886,MAP7D3,MAP7D3,Map7d3,
12887,LTN1,LTN1,Ltn1,
12888,LOXL4,LOXL4,Loxl4,
12889,GPR151,GPR151,Gpr151,
12890,SLC15A3,SLC15A3,Slc15a3,
12891,ENSA,ENSA,Ensa,
12892,SYVN1,SYVN1,Syvn1,
12893,RSL24D1,RSL24D1,Rsl24d1,
12894,UPP2,UPP2,Upp2,
12895,SEMA5A,SEMA5A,Sema5a,
12896,RTKN2,RTKN2,Rtkn2,
12897,GFRA4,GFRA4,Gfra4,
12898,ERAP1,ERAP1,Erap1,
12899,GLRA2,GLRA2,Glra2,
12900,NCAPH,NCAPH,Ncaph,
12901,TCEAL9,TCEAL9,Tceal9,
12902,TNFRSF18,TNFRSF18,Tnfrsf18,
12903,GSDMD,GSDMD,Gsdmd,
12904,TBCA,TBCA,Tbca,
12905,NDUFA9,NDUFA9,Ndufa9,
12906,PTPRK,PTPRK,Ptprk,
12907,ALOX12B,ALOX12B,Alox12b,
12908,C22H19orf18,C19orf18,2900092C05Rik,
12909,HDGFL2,HDGFL2,Hdgfl2,
12910,SLC4A3,SLC4A3,Slc4a3,
12911,MEN1,MEN1,Men1,
12912,PCDH12,PCDH12,Pcdh12,
12913,TRAF1,TRAF1,Traf1,
12914,BLOC1S4,BLOC1S4,Bloc1s4,
12915,FBN1,FBN1,Fbn1,
12916,FBXO40,FBXO40,Fbxo40,
12917,ZDBF2,ZDBF2,Zdbf2,
12918,NDUFA1,NDUFA1,Ndufa1,
12919,ETNPPL,ETNPPL,Etnppl,
12920,ACTN1,ACTN1,Actn1,
12921,RPL36AL,RPL36AL,Rpl36al,
12922,IZUMO1,IZUMO1,Izumo1,
12923,SLC10A3,SLC10A3,Slc10a3,
12924,SRSF7,SRSF7,Srsf7,
12925,RAB37,RAB37,Rab37,
12926,ANTXR1,ANTXR1,Antxr1,
12927,ABCB8,ABCB8,Abcb8,
12928,SPAST,SPAST,Spast,
12929,PRR35,PRR35,A930017K11Rik,
12930,KCNV1,KCNV1,Kcnv1,
12931,BABAM2,BABAM2,Babam2,
12932,KIF7,KIF7,Kif7,
12933,ZFHX3,ZFHX3,Zfhx3,
12934,NDN,NDN,Ndn,
12935,MXI1,MXI1,Mxi1,
12936,GJA4,GJA4,Gja4,
12937,ZNF593,ZNF593,Zfp593,
12938,FLII,FLII,Flii,
12939,CLVS2,CLVS2,Clvs2,
12940,CAMKV,CAMKV,Camkv,
12941,SGSH,SGSH,Sgsh,
12942,LGSN,LGSN,Lgsn,
12943,TSC22D3,TSC22D3,Tsc22d3,
12944,IZUMO2,IZUMO2,Izumo2,
12945,TFDP1,TFDP1,Tfdp1,
12946,RGS12,RGS12,Rgs12,
12947,MXRA8,MXRA8,Mxra8,
12948,SLC45A4,SLC45A4,Slc45a4,
12949,SNX17,SNX17,Snx17,
12950,LOC105862982,CYB5RL,Cyb5rl,
12951,NXT1,NXT1,Nxt1,
12952,ALKBH2,ALKBH2,Alkbh2,
12953,CCDC190,CCDC190,Ccdc190,
12954,TMEM231,TMEM231,Tmem231,
12955,HSPA14,HSPA14,Hspa14,
12956,ZBTB7B,ZBTB7B,Zbtb7b,
12957,UBOX5,UBOX5,Ubox5,
12958,PARVB,PARVB,Parvb,
12959,RGL2,RGL2,Rgl2,
12960,ZNF185,ZNF185,Zfp185,
12961,CLRN2,CLRN2,Clrn2,
12962,EPGN,EPGN,Epgn,
12963,HNRNPA0,HNRNPA0,Hnrnpa0,
12964,LOC105880279,COX16,Cox16,
12965,ECI1,ECI1,Eci1,
12966,CIDEC,CIDEC,Cidec,
12967,RPLP2,RPLP2,Rplp2,
12968,CNOT6L,CNOT6L,Cnot6l,
12969,DOLK,DOLK,Dolk,
12970,GPR15,GPR15,Gpr15,
12971,ACTR2,ACTR2,Actr2,
12972,VPS26B,VPS26B,Vps26b,
12973,ERG28,ERG28,Erg28,
12974,LOC105871059,CTF1,Ctf1,
12975,CCR8,CCR8,Ccr8,
12976,KHDC3L,KHDC3L,Khdc3,
12977,CACNG2,CACNG2,Cacng2,
12978,SLC25A18,SLC25A18,Slc25a18,
12979,FSD1L,FSD1L,Fsd1l,
12980,PCNP,PCNP,Pcnp,
12981,ZNF511,ZNF511,Zfp511,
12982,SFRP1,SFRP1,Sfrp1,
12983,XRCC6,XRCC6,Xrcc6,
12984,MC2R,MC2R,Mc2r,
12985,ASPHD1,ASPHD1,Asphd1,
12986,SIT1,SIT1,Sit1,
12987,GANAB,GANAB,Ganab,
12988,ASRGL1,ASRGL1,Asrgl1,
12989,ATP1B2,ATP1B2,Atp1b2,
12990,MCF2,MCF2,Mcf2,
12991,FOXE3,FOXE3,Foxe3,
12992,CCL25,CCL25,Ccl25,
12993,KIFBP,KIFBP,Kifbp,
12994,ARHGAP25,ARHGAP25,Arhgap25,
12995,LOC105869993,MACROH2A1,Macroh2a1,
12996,RBM6,RBM6,Rbm6,
12997,NDUFAF6,NDUFAF6,Ndufaf6,
12998,TWISTNB,TWISTNB,Twistnb,
12999,EIF2S1,EIF2S1,Eif2s1,
13000,OMP,OMP,Omp,
13001,LY9,LY9,Ly9,
13002,WRAP73,WRAP73,Wrap73,
13003,CLDN7,CLDN7,Cldn7,
13004,CALD1,CALD1,Cald1,
13005,S1PR3,S1PR3,S1pr3,
13006,FSTL1,FSTL1,Fstl1,
13007,RABEP1,RABEP1,Rabep1,
13008,ITFG1,ITFG1,Itfg1,
13009,PKP3,PKP3,Pkp3,
13010,INIP,INIP,Inip,
13011,AP3M2,AP3M2,Ap3m2,
13012,PCTP,PCTP,Pctp,
13013,SHC1,SHC1,Shc1,
13014,SLAIN1,SLAIN1,Slain1,
13015,LOC105882263,TMEM210,Tmem210,
13016,BACH2,BACH2,Bach2,
13017,FREM2,FREM2,Frem2,
13018,TSTD1,TSTD1,Tstd1,
13019,DUSP9,DUSP9,Dusp9,
13020,MS4A13,MS4A13,Ms4a13,
13021,NUP133,NUP133,Nup133,
13022,DDHD2,DDHD2,Ddhd2,
13023,RS1,RS1,Rs1,
13024,ALG5,ALG5,Alg5,
13025,NEXN,NEXN,Nexn,
13026,BCKDK,BCKDK,Bckdk,
13027,C10H9orf64,C9orf64,2210016F16Rik,
13028,CHRNA3,CHRNA3,Chrna3,
13029,GPR155,GPR155,Gpr155,
13030,CENPV,CENPV,Cenpv,
13031,C7H12orf50,C12orf50,1700017N19Rik,
13032,PANK1,PANK1,Pank1,
13033,LGR5,LGR5,Lgr5,
13034,CEP135,CEP135,Cep135,
13035,TMEM131,TMEM131,Tmem131,
13036,OLFML2B,OLFML2B,Olfml2b,
13037,GATM,GATM,Gatm,
13038,SCARB1,SCARB1,Scarb1,
13039,ARRDC2,ARRDC2,Arrdc2,
13040,OPHN1,OPHN1,Ophn1,
13041,CLN6,CLN6,Cln6,
13042,IMMT,IMMT,Immt,
13043,C14H6orf62,C6orf62,BC005537,
13044,GIT2,GIT2,Git2,
13045,IMP4,IMP4,Imp4,
13046,ITGB4,ITGB4,Itgb4,
13047,IDH3G,IDH3G,Idh3g,
13048,ETV3L,ETV3L,Etv3l,
13049,EXT1,EXT1,Ext1,
13050,ZNRF4,ZNRF4,Znrf4,
13051,H1-5,H1-5,H1f5,
13052,BRI3BP,BRI3BP,Bri3bp,
13053,SYT5,SYT5,Syt5,
13054,TMEM88,TMEM88,Tmem88,
13055,FAM216A,FAM216A,Fam216a,
13056,ADAP1,ADAP1,Adap1,
13057,PLEC,PLEC,Plec,
13058,RABEPK,RABEPK,Rabepk,
13059,NEK6,NEK6,Nek6,
13060,RNF225,RNF225,Rnf225,
13061,SLC49A4,SLC49A4,Slc49a4,
13062,TTI2,TTI2,Tti2,
13063,GNB1L,GNB1L,Gnb1l,
13064,GLDC,GLDC,Gldc,
13065,MRPL32,MRPL32,Mrpl32,
13066,KIZ,KIZ,Kiz,
13067,BCL2,BCL2,Bcl2,
13068,HNRNPU,HNRNPU,Hnrnpu,
13069,SUSD6,SUSD6,Susd6,
13070,KCTD10,KCTD10,Kctd10,
13071,MCM5,MCM5,Mcm5,
13072,NODAL,NODAL,Nodal,
13073,MTCL1,MTCL1,Mtcl1,
13074,TM9SF3,TM9SF3,Tm9sf3,
13075,ITIH4,ITIH4,Itih4,
13076,FAM20C,FAM20C,Fam20c,
13077,TLCD3B,TLCD3B,Fam57b,
13078,ADD3,ADD3,Add3,
13079,SCARA3,SCARA3,Scara3,
13080,ST6GAL1,ST6GAL1,St6gal1,
13081,AFG3L2,AFG3L2,Afg3l2,
13082,FAM185A,FAM185A,Fam185a,
13083,EPHA3,EPHA3,Epha3,
13084,SH3TC2,SH3TC2,Sh3tc2,
13085,LOC105859693,OR2C1,Olfr15,
13086,SIX1,SIX1,Six1,
13087,ACHE,ACHE,Ache,
13088,GPR146,GPR146,Gpr146,
13089,UBAC2,UBAC2,Ubac2,
13090,CCDC88C,CCDC88C,Ccdc88c,
13091,TIMM17B,TIMM17B,Timm17b,
13092,CTR9,CTR9,Ctr9,
13093,TLR8,TLR8,Tlr8,
13094,TMX1,TMX1,Tmx1,
13095,CNTNAP1,CNTNAP1,Cntnap1,
13096,TRPM1,TRPM1,Trpm1,
13097,CCKBR,CCKBR,Cckbr,
13098,FLYWCH2,FLYWCH2,Flywch2,
13099,ATPAF2,ATPAF2,Atpaf2,
13100,THAP8,THAP8,Gm50588,
13101,S100A9,S100A9,S100a9,
13102,HS6ST1,HS6ST1,Hs6st1,
13103,CNDP2,CNDP2,Cndp2,
13104,AHI1,AHI1,Ahi1,
13105,PCSK9,PCSK9,Pcsk9,
13106,LOC105869867,COX14,Cox14,
13107,GUK1,GUK1,Guk1,
13108,GLT8D2,GLT8D2,Glt8d2,
13109,GAB1,GAB1,Gab1,
13110,RANBP17,RANBP17,Ranbp17,
13111,SUSD5,SUSD5,Susd5,
13112,LRRC41,LRRC41,Lrrc41,
13113,VPS26C,VPS26C,Vps26c,
13114,PRSS16,PRSS16,Prss16,
13115,GSTM3,GSTM3,Gstm5,
13116,CDC42BPA,CDC42BPA,Cdc42bpa,
13117,DHRS11,DHRS11,Dhrs11,
13118,TOMM7,TOMM7,Tomm7,
13119,SLC6A5,SLC6A5,Slc6a5,
13120,AP3B1,AP3B1,Ap3b1,
13121,MELK,MELK,Melk,
13122,FBXO44,FBXO44,Fbxo44,
13123,SP2,SP2,Sp2,
13124,SLC12A8,SLC12A8,Slc12a8,
13125,ERCC3,ERCC3,Ercc3,
13126,PARP10,PARP10,Parp10,
13127,TSPAN9,TSPAN9,Tspan9,
13128,CLMP,CLMP,Clmp,
13129,GOLGA7,GOLGA7,Golga7,
13130,GAS2,GAS2,Gas2,
13131,STAG2,STAG2,Stag2,
13132,ZDHHC3,ZDHHC3,Zdhhc3,
13133,RHBDF2,RHBDF2,Rhbdf2,
13134,DTNA,DTNA,Dtna,
13135,GNS,GNS,Gns,
13136,C31H21orf91,C21orf91,D16Ertd472e,
13137,KRT35,KRT35,Krt35,
13138,TIFA,TIFA,Tifa,
13139,LETM1,LETM1,Letm1,
13140,MBTPS1,MBTPS1,Mbtps1,
13141,ETV4,ETV4,Etv4,
13142,GATA3,GATA3,Gata3,
13143,YTHDC2,YTHDC2,Ythdc2,
13144,PYCR1,PYCR1,Pycr1,
13145,PCCB,PCCB,Pccb,
13146,PEX11G,PEX11G,Pex11g,
13147,AKAP4,AKAP4,Akap4,
13148,RAPGEF1,RAPGEF1,Rapgef1,
13149,RING1,RING1,Ring1,
13150,CREG1,CREG1,Creg1,
13151,FAM126A,FAM126A,Fam126a,
13152,IFITM5,IFITM5,Ifitm5,
13153,LZIC,LZIC,Lzic,
13154,DDX43,DDX43,Ddx43,
13155,PPP1R7,PPP1R7,Ppp1r7,
13156,STAC3,STAC3,Stac3,
13157,LOC105856473,COA6,Coa6,
13158,BRMS1,BRMS1,Brms1,
13159,FAM222B,FAM222B,Fam222b,
13160,SURF2,SURF2,Surf2,
13161,NOD1,NOD1,Nod1,
13162,FSHB,FSHB,Fshb,
13163,CAVIN1,CAVIN1,Cavin1,
13164,LOX,LOX,Lox,
13165,PANX3,PANX3,Panx3,
13166,CDK12,CDK12,Cdk12,
13167,CHRDL2,CHRDL2,Chrdl2,
13168,TUBB1,TUBB1,Tubb1,
13169,XK,XK,Xk,
13170,WWTR1,WWTR1,Wwtr1,
13171,ABCC1,ABCC1,Abcc1,
13172,YIPF2,YIPF2,Yipf2,
13173,RBM25,RBM25,Rbm25,
13174,IKZF3,IKZF3,Ikzf3,
13175,CHAC2,CHAC2,Chac2,
13176,GPR19,GPR19,Gpr19,
13177,PLCB3,PLCB3,Plcb3,
13178,UHRF1BP1L,UHRF1BP1L,Uhrf1bp1l,
13179,FAM83A,FAM83A,Fam83a,
13180,NPLOC4,NPLOC4,Nploc4,
13181,TOPBP1,TOPBP1,Topbp1,
13182,SMPDL3B,SMPDL3B,Smpdl3b,
13183,CPQ,CPQ,Cpq,
13184,TXNDC11,TXNDC11,Txndc11,
13185,NR1D2,NR1D2,Nr1d2,
13186,LOC105872655,TF,Trf,
13187,SPCS1,SPCS1,Spcs1,
13188,LMNB1,LMNB1,Lmnb1,
13189,ARPP19,ARPP19,Arpp19,
13190,RPIA,RPIA,Rpia,
13191,C16H17orf98,C17orf98,1700001P01Rik,
13192,KCTD17,KCTD17,Kctd17,
13193,FAM83G,FAM83G,Fam83g,
13194,POU2AF1,POU2AF1,Pou2af1,
13195,STX6,STX6,Stx6,
13196,AGA,AGA,Aga,
13197,FBXL16,FBXL16,Fbxl16,
13198,RBIS,RBIS,Rbis,
13199,TRIQK,TRIQK,Triqk,
13200,CD274,CD274,Cd274,
13201,SLC36A4,SLC36A4,Slc36a4,
13202,BRIX1,BRIX1,Brix1,
13203,SIDT2,SIDT2,Sidt2,
13204,CAMTA2,CAMTA2,Camta2,
13205,EMP2,EMP2,Emp2,
13206,BSND,BSND,Bsnd,
13207,PIGU,PIGU,Pigu,
13208,WEE1,WEE1,Wee1,
13209,MOB3A,MOB3A,Mob3a,
13210,EMP3,EMP3,Emp3,
13211,VWA8,VWA8,Vwa8,
13212,UBE2V2,UBE2V2,Ube2v2,
13213,LGALS4,LGALS4,Lgals4,
13214,NUMB,NUMB,Numb,
13215,FFAR4,FFAR4,Ffar4,
13216,ATP1B3,ATP1B3,Atp1b3,
13217,MMAB,MMAB,Mmab,
13218,CCDC96,CCDC96,Ccdc96,
13219,PRXL2A,PRXL2A,Prxl2a,
13220,IQCA1L,IQCA1L,Iqca1l,
13221,DENND1A,DENND1A,Dennd1a,
13222,BBS2,BBS2,Bbs2,
13223,TUBA4A,TUBA4A,Tuba4a,
13224,OLFM4,OLFM4,Olfm4,
13225,TAS2R38,TAS2R38,Tas2r138,
13226,UNC50,UNC50,Unc50,
13227,CLEC3B,CLEC3B,Clec3b,
13228,FRS2,FRS2,Frs2,
13229,NAA35,NAA35,Naa35,
13230,HSD17B7,HSD17B7,Hsd17b7,
13231,SBF1,SBF1,Sbf1,
13232,LOC105885426,ZNF101,Zfp867,
13233,WFIKKN1,WFIKKN1,Wfikkn1,
13234,MRPS31,MRPS31,Mrps31,
13235,ST3GAL5,ST3GAL5,St3gal5,
13236,NAB2,NAB2,Nab2,
13237,SEBOX,SEBOX,Sebox,
13238,RTP2,RTP2,Rtp2,
13239,TGFB1I1,TGFB1I1,Tgfb1i1,
13240,PFKFB3,PFKFB3,Pfkfb3,
13241,MED20,MED20,Med20,
13242,ADRA2B,ADRA2B,Adra2b,
13243,LRRC4B,LRRC4B,Lrrc4b,
13244,BATF,BATF,Batf,
13245,SH3BP5,SH3BP5,Sh3bp5,
13246,SPESP1,SPESP1,Spesp1,
13247,FAM50A,FAM50A,Fam50a,
13248,MECP2,MECP2,Mecp2,
13249,RAD54L2,RAD54L2,Rad54l2,
13250,METTL26,METTL26,Mettl26,
13251,P2RX1,P2RX1,P2rx1,
13252,DNAH10,DNAH10,Dnah10,
13253,SMURF2,SMURF2,Smurf2,
13254,PKD2L2,PKD2L2,Pkd2l2,
13255,CCDC36,CCDC36,Ccdc36,
13256,MEIOB,MEIOB,Meiob,
13257,IGSF11,IGSF11,Igsf11,
13258,SLC7A4,SLC7A4,Slc7a4,
13259,TMEM217,TMEM217,Tmem217,
13260,MAVS,MAVS,Mavs,
13261,LRPPRC,LRPPRC,Lrpprc,
13262,IQCB1,IQCB1,Iqcb1,
13263,CEP76,CEP76,Cep76,
13264,IMP3,IMP3,Imp3,
13265,ENPP5,ENPP5,Enpp5,
13266,YBX1,YBX1,Ybx1,
13267,H6PD,H6PD,H6pd,
13268,CLDND1,CLDND1,Cldnd1,
13269,RD3L,RD3L,Rd3l,
13270,ARHGEF10L,ARHGEF10L,Arhgef10l,
13271,TEX13B,TEX13B,Tex13b,
13272,CXXC5,CXXC5,Cxxc5,
13273,KCNJ9,KCNJ9,Kcnj9,
13274,DPY19L3,DPY19L3,Dpy19l3,
13275,LIMK1,LIMK1,Limk1,
13276,LOC105877166,PFAS,Pfas,
13277,DPPA3,DPPA3,Dppa3,
13278,ARNT2,ARNT2,Arnt2,
13279,PPP1R15B,PPP1R15B,Ppp1r15b,
13280,CCDC57,CCDC57,Ccdc57,
13281,ATP6V0E2,ATP6V0E2,Atp6v0e2,
13282,IFNLR1,IFNLR1,Ifnlr1,
13283,KRT78,KRT78,Krt78,
13284,TMSB10,TMSB10,Tmsb10,
13285,SLC44A2,SLC44A2,Slc44a2,
13286,GNE,GNE,Gne,
13287,POGLUT3,POGLUT3,Poglut3,
13288,MRPL52,MRPL52,Mrpl52,
13289,LOC105861863,CECR2,Cecr2,
13290,ALDH5A1,ALDH5A1,Aldh5a1,
13291,SLC51A,SLC51A,Slc51a,
13292,RAB28,RAB28,Rab28,
13293,PATE2,PATE2,Pate2,
13294,ZNF2,ZNF2,Zfp661,
13295,G6PC2,G6PC2,G6pc2,
13296,WFDC3,WFDC3,Wfdc3,
13297,FNDC3A,FNDC3A,Fndc3a,
13298,MFSD3,MFSD3,Mfsd3,
13299,SPATS2L,SPATS2L,Spats2l,
13300,MEIS3,MEIS3,Meis3,
